Word|Antonym1,Antonym2,Antonym3,Antonym4
21-Jun|winter solstice
a la carte|table d'hote
a posteriori|a priori
a priori|a posteriori
abactinal|actinal
abaft|fore
abaxial|adaxial
abaxially|adaxially
abbreviate|expand
abducent|adducent
abduct|adduct
abducting|adducent
abidance|noncompliance,nonconformity
abide by|disrespect
abience|adience
abient|adient
ability|inability
able|unable
ably|incompetently
abnormal condition|normality
abnormal|normal
abnormalcy|normality
abnormality|normality
abolish|establish
aborad|orad
aboral|oral
aboriginal|nonnative
above|below
aboveboard|dishonestly
abranchial|branchiate
abranchiate|branchiate
abranchious|branchiate
abridge|expand
abridged|unabridged
abruptness|gradualness
absence|presence
absent|present
absolute|relative
absolve|blame
absorb|emit
absorbable|adsorbable
absorbency|nonabsorbency
absorbent|nonabsorbent
absorptive|nonabsorbent
abstain|consume
abstainer|drinker
abstemious|gluttonous
abstinent|drinker
abstract|concrete
abstractly|concretely
abstractness|concreteness
abstruseness|clarity
abundance|scarcity
abundant|scarce
abused|unabused
ac|direct current
acanthopterygian|soft-finned fish
acapnia|hypercapnia
acarpellous|carpellate
acarpelous|carpellate
acatalectic|catalectic,hypercatalectic
acaudal|caudate
acaudate|caudate
acaulescent|caulescent
accede|dissent
accelerate|decelerate
acceleration|deceleration
accelerator|anticatalyst
accented|unstressed,atonic
accentual|quantitative,syllabic
accept|refuse,reject
acceptability|unacceptability
acceptable|unacceptable
acceptableness|unacceptability
acceptably|intolerably,unacceptably
acceptance|rejection
acceptive|rejective
accessibility|unapproachability,inaccessibility,unavailability
accessible|inaccessible
accidentally|deliberately,deliberately,intentionally
acclaim|boo
acclivity|descent
accommodate|disoblige
accommodating|unaccommodating
accommodative|unaccommodating
accompanied|unaccompanied
accord|disagreement
accordant|discordant
accrual basis|cash basis
accuracy|inaccuracy
accurate|inaccurate
accurately|inaccurately
accusatorial|inquisitorial
accustomed|unaccustomed
acellular|cellular
acetify|alkalize,sweeten
achiever|loser
achlamydeous|chlamydeous
achondritic|chondritic
achromatic color|chromatic color
achromatic colour|chromatic color
achromatic|chromatic
achromaticity|color
achromatinic|chromatinic
achromatism|color
acidic|alkaline,amphoteric
acidify|alkalize,sweeten
acidity|alkalinity
acid-loving|alkaline-loving
acidulate|sweeten
acknowledge|deny
acknowledged|unacknowledged
acquiesce|dissent
acquire|lose
acquisitive|unacquisitive
acquit|convict
acquittal|conviction
acrocarp|pleurocarp
acrocarpous moss|pleurocarp
acrocarpous|pleurocarpous
acropetal|basipetal
acroscopic|basiscopic
act|refrain
actable|unactable
actinal|abactinal
actinomorphic|zygomorphic
actinomorphous|zygomorphic
action|inaction,inactiveness,inactivity
activate|inactivate
activation|deactivation,inactivation
activator|inhibitor
active trust|passive trust
active voice|passive voice
active|inactive,dormant,passive,quiet,passive voice,contemplative,extinct,stative
