ability|inability
able|unable
abnormal|normal
abnormality|normality
abolish|establish
aboriginal|nonnative
above|below
aboveboard|dishonestly
abridge|expand
absence|presence
absent|present
absolute|relative
absolve|blame
absorb|emit
absorbent|nonabsorbent
absorptive|nonabsorbent
abstain|consume
abstainer|drinker
abstemious|gluttonous
abstinent|drinker
abstract|concrete
abstractly|concretely
abstractness|concreteness
abstruseness|clarity
abundance|scarcity
abundant|scarce
accentual|quantitative,syllabic
acceptably|intolerably,unacceptably
accidentally|deliberately
acclivity|descent
accommodate|disoblige
accord|disagreement
accordant|discordant
accuracy|inaccuracy
accurate|inaccurate
accurately|inaccurately
accustomed|unaccustomed
acidic|alkaline
acquiesce|dissent
acquire|lose
acquit|convict
acquittal|conviction
action|inaction,inactivity
activate|inactivate
activation|deactivation,inactivation
activator|inhibitor
active|inactive,dormant,passive,quiet,extinct
actively|passively
activeness|inaction,inactivity
activity|inactivity,inaction
actual|potential
acute|obtuse,chronic
acutely|chronically
acuteness|obtuseness
addictive|nonaddictive
addition|subtraction
adequacy|inadequacy
adjust|skew
admissible|inadmissible
admit|deny,reject,exclude
adopted|native
adoptive|native,biological
adroit|maladroit
advantage|penalty,disadvantage
advisable|inadvisable
advised|ill-advised
advisedly|accidentally
afloat|aground,sunken
agreeably|disagreeably,unpleasantly
aground|afloat,sunken
ahead|back,backward
alas|fortunately,luckily
alfresco|indoors,inside
alkaline|acidic
allow|disallow,forbid
also-ran|winner
alterable|unalterable
alternate|opposite
altogether|partly
altruism|egoism
altruistic|egoistic
always|never
amateur|professional
amateurishly|expertly
ambidextrous|left-handed,right-handed
amoral|immoral,moral
amphibious|aquatic,terrestrial
analogous|homologous
analysis|synthesis
analytic|synthetic
analytical|synthetic
analyze|synthesize
androgynous|female,male
animal|mineral,vegetable
annual|biennial,perennial
anterior|posterior
anticyclone|cyclone
antonym|antonym,synonym
antonymous|antonymous,synonymous
appear|disappear
appetizing|unappetizing
applied|theoretical
apply|exempt,defy
appointed|elective
appointive|elective
aquatic|amphibious,terrestrial
aright|incorrectly,wrongly
armament|disarmament,disarming
armed|unarmed
armored|unarmored
arouse|sedate
