aardvark|anteater,placental
abacus|tablet,calculator
abaft|astern,fore
abalone|gastropod,univalve
abandon|wantonness,wildness,passion,discard,fling,toss,dispose,vacate,empty,leave,forsake,desolate,desert
abandoned|derelict,uninhabited,uninhibited
abandonment|desertion,rejection,defection,withdrawal,disposal,disposition
abase|humiliate,mortify,chagrin,humble,hurt,wound,injure,bruise,offend,spite
abasement|degradation,abjection,humiliation,debasement
abash|embarrass,upset,discompose,disconcert,discomfit
abashed|embarrassed
abashment|bashfulness
abate|slake,slack,decrease,lessen,diminish,fall
abatement|suspension,respite,reprieve,hiatus,interruption,break,moderation,mitigation
abattoir|butchery,shambles,building,edifice
abbe|abbot
abbess|prioress,superior
abbey|church,convent,monastery
abbot|superior
abbreviate|reduce,abridge,foreshorten,shorten,contract,decrease,lessen,expand
abbreviated|brief,short,truncated
abbreviation|form,shortening
abdicate|renounce,vacate,resign
abdication|resignation
abdomen|stomach,belly,cavity
abduct|kidnap,snatch,seize,pull,draw,force
abduction|capture,seizure,motion,movement,move,motility
abductor|kidnapper,kidnaper,snatcher,criminal,felon,crook,outlaw,malefactor,captor
aberrant|deviant,deviate,abnormal,anomaly
aberration|deviance,abnormality,disturbance,distortion
abet|assist
abetter|abettor,accessory
abettor|abetter,accessory
abeyance|suspension,inaction,inactivity
abhor|loathe,abominate,execrate,hate,detest
abhorrence|abomination,detestation,execration,loathing,odium,hate,hatred,disgust
abhorrent|detestable,obscene,repugnant,repulsive,offensive
abidance|conformity,conformation,compliance,cooperation,residency,residence,continuance,continuation
abide|bide,stay,continue,remain,digest,endure,stomach,bear,stand,tolerate,support,brook,suffer,permit,allow,countenance
abiding|enduring,imperishable,permanent,lasting
ability|quality,inability,power,cognition,knowledge
abject|low-down,miserable,scummy,scurvy,contemptible,unfortunate,resigned,hopeless,submissive
abjection|abasement,degradation,humiliation
abjectly|resignedly
abjuration|retraction,recantation,disavowal,disclaimer
abjure|recant,forswear,retract,renounce,repudiate
abjurer|person,individual,someone,somebody,mortal,soul
ablate|wear,remove,take,withdraw
ablation|extirpation,excision,operation,surgery,erosion,wearing
ablative|oblique
ablaze|aflame,passionate,afire,alight,blazing,burning,flaming,colorful,inflamed,light
able|unable,capable,competent,able-bodied,healthy
able-bodied|able,healthy
abloom|mature
ablution|ritual,wash,washing
ably|competently,aptly,capably
abnegate|deny,control,hold,contain,check,curb,moderate,surrender,relinquish
abnegation|denial,self-denial,selflessness,renunciation
abnormal|aberrant,deviant,deviate,anomalous,atypical,irregular,defective,freakish,kinky,perverted,subnormal,vicarious,insane,normal,exceptional,immoderate
abnormality|condition,status,normality,retardation,backwardness,slowness,freakishness,strangeness,irregularity,misbehavior,misdeed
aboard|alongside
abode|residence,address,dwelling,home,domicile,habitation,housing,lodging
abolish|establish
abolition|termination,ending,conclusion
abolitionism|doctrine,philosophy
abolitionist|reformer,crusader
abominable|detestable,execrable,odious,hateful,atrocious,awful,dreadful,painful,terrible,unspeakable
abominably|detestably,repulsively,odiously,terribly,atrociously,awfully,abysmally,rottenly
abominate|abhor,loathe,execrate,hate,detest
abomination|person,individual,someone,somebody,mortal,soul,abhorrence,detestation,execration,loathing,odium,hate,hatred,disgust,evildoing
aboriginal|native,nonnative,primal,primeval,primordial,early
aborigine|primitive
abort|termination,ending,conclusion,terminate,decease,perish,exit,expire,pass,conk,choke,croak,discharge,expel,eject,release
abortion|termination,ending,conclusion,miscarriage,failure
abortionist|doctor,physician
abortive|stillborn,unsuccessful,unfruitful
abound|burst,bristle,have,feature
about|astir,active,some,roughly,around,almost,most,nearly,near,nigh,virtually,well-nigh
about-face|reversion,reverse,reversal,turnabout,turnaround,change,turn,rethink
above|preceding,section,subdivision,supra,below
aboveboard|straight,square,honestly,dishonestly
abracadabra|gibberish,gibber
abrade|scour
abrasion|scratch,scrape,excoriation,wound,lesion,attrition,erosion,wearing,grinding,friction
